	0
BCID	658
BCType	3
EventInSequence	9
GpsTime	1537928894265088
HLT1TCK	293214372
HLT2TCK	561846436
K_ETA	3.808661173202205
K_ID	321
K_IPCHI2_OWNPV	44.791064169495606
K_IP_OWNPV	1.4112811930697444
K_M	493.67700409782105
K_ORIVX_CHI2	0.21509301662445068
K_ORIVX_COV_	{ 0.125387f, -0.314615f, 7.43351f, -0.314615f, 1.07309f, -24.5678f, 7.43351f, -24.5678f, 574.853f }
K_ORIVX_NDOF	1
K_ORIVX_X	2.5695
K_ORIVX_XERR	0.3541
K_ORIVX_Y	-0.8688
K_ORIVX_YERR	1.0359
K_ORIVX_Z	47.5946
K_ORIVX_ZERR	23.9761
K_OWNPV_CHI2	12.69858455657959
K_OWNPV_COV_	{ 0.000278890f, 5.50098e-07f, 0.000232625f, 5.50098e-07f, 0.000262440f, -3.81321e-05f, 0.000232625f, -3.81321e-05f, 0.00525625f }
K_OWNPV_NDOF	21
K_OWNPV_X	0.9162
K_OWNPV_XERR	0.0167
K_OWNPV_Y	0.1816
K_OWNPV_YERR	0.0162
K_OWNPV_Z	7.5813
K_OWNPV_ZERR	0.0725
K_P	8063.308091056673
K_PE	8078.406671842846
K_PHI	-1.333972883276958
K_PIDK	12.557360649108887
K_PIDd	12.557360649108887
K_PIDe	4.938566207885742
K_PIDmu	-2.8476014137268066
K_PIDp	12.557360649108887
K_PT	357.4778691052077
K_PX	83.87
K_PY	-347.5
K_PZ	8055.38
K_ProbNNd	-1000.0
K_ProbNNe	0.209504172205925
K_ProbNNghost	0.9098044037818909
K_ProbNNk	0.11625388264656067
K_ProbNNmu	-1000.0
K_ProbNNp	0.16659680008888245
K_ProbNNpi	0.02231857366859913
K_RichAboveElThres	True
K_RichAboveKaThres	False
K_RichAboveMuThres	True
K_RichAbovePiThres	True
K_RichAbovePrThres	False
K_TRACK_CHI2NDOF	1.1469175815582275
K_TRACK_CloneDist	576.3280639648438
K_TRACK_GhostProb	0.2762325704097748
K_TRACK_Key	36
K_TRACK_Likelihood	999.0
K_TRACK_MatchCHI2	4.605887413024902
K_TRACK_PCHI2	0.2699089465312561
K_TRACK_Type	3
K_UsedRich1Gas	True
K_UsedRich2Gas	True
K_UsedRichAerogel	False
K_Y	3.2760088568676227
K_hasCalo	True
K_hasMuon	True
K_hasRich	True
K_isMuon	False
L0DUTCK	6308
L0_DIRA_ORIVX	0.9999999152543052
L0_DIRA_OWNPV	0.9999997659434147
L0_ENDVERTEX_CHI2	0.030941449105739594
